Navigation Status,MMSI,Longitude,Latitude,Ship_Type
15,525024056,105.78080333333334,-5.611603333333333,Unknown ship type
0,525019409,105.97803166666668,-5.928236666666667,Unknown ship type
0,525024295,105.98103,-5.931308333333333,Unknown ship type
0,525200928,69.17898333333333,64.20996833333334,Tankers
0,625005399,106.09766666666668,-5.860013333333334,Passenger
0,294067712,70.73055666666667,87.156385,Unknown ship type
15,525701005,69.97514333333334,62.23668,Tugs
6,525016699,105.99790166666666,-5.911036666666667,Unknown ship type
15,525201093,105.9926,-5.924051666666666,Tankers
0,525022129,106.10271833333331,-5.918625,Unknown ship type
0,525300118,-91.76256166666668,-95.82037333333334,Fishing
15,525002068,105.987405,-5.95655,Passenger
0,525022100,105.98543,-5.951943333333333,Unknown ship type
15,525200529,106.11373166666668,-5.953921666666667,Tankers
0,525024001,105.743475,-6.28367,Unknown ship type
0,525019505,-93.65960166666666,-93.70678333333332,Unknown ship type
0,525009341,-91.85650833333334,-95.711925,Passenger
8,525003465,105.98107,-5.936973333333333,Passenger
0,636025284,69.06325,65.11774,Unknown ship type
1,525601570,106.111955,-5.954516666666667,Search and rescue vessels
0,525121045,105.99095333333334,-5.899853333333334,Unknown ship type
0,525600466,76.81983666666666,72.80433666666667,Search and rescue vessels
0,525100375,105.80268833333334,-5.839448333333333,Cargo 
0,525019408,105.885975,-5.912791666666666,Unknown ship type
0,525124884,80.44383666666667,67.63174666666667,Unknown ship type
0,525001068,106.1091,-5.97515,Passenger
8,525200924,105.95637,-5.915541666666667,Tankers
0,525016449,-91.47306833333332,-95.57189166666667,Unknown ship type
1,525701011,106.112035,-6.5703016666666665,Tugs
5,636020122,105.95737666666666,-6.010703333333334,Unknown ship type
0,525900995,-91.84168166666667,-95.21117333333332,Other types of vessels
5,525200301,106.10856166666666,-5.980576666666667,Tankers
0,525200031,105.99318166666669,-5.950616666666667,Tankers
1,525300614,106.09739666666668,-5.859751666666667,Fishing
5,525900437,106.11104666666668,-5.981111666666667,Other types of vessels
1,477899200,105.90568166666668,-6.020355,Sailing
1,371168000,105.92838,-5.989605,Unknown ship type
0,525007177,106.055565,-6.00304,Passenger
0,525006235,105.79026333333331,-5.828683333333333,Passenger
1,525016024,106.13676666666667,-5.951135,Unknown ship type
